"id_filtro_selezione","descrizione","object_context","object_name","filter","bind_expression","error_code_list","note","sort_expression","filter_tipi_avviso","nome_tabella","campo_descr_oggetto","additional_filter","selection_sql"
"20","Mandati",NULL,"contratti",NULL,NULL,NULL,"Mandati",NULL,NULL,"contratti",NULL,NULL,NULL
"19","Finanziamenti Finafarm",NULL,"articoli","codiceTipoArticolo='FIN'",NULL,NULL,NULL,NULL,NULL,"articoli",NULL,"codiceTipoArticolo='FIN'",NULL
"22","Progetti",NULL,"progetti",NULL,NULL,NULL,NULL,NULL,NULL,"progetti",NULL,NULL,NULL
"21","Linee di prodotto (Fasi progetti)",NULL,"progettiFasi",NULL,NULL,NULL,NULL,NULL,NULL,"progettiFasi",NULL,NULL,NULL
"61","Consuntivazioni",NULL,"consuntivazioni",NULL,NULL,NULL,NULL,"dataIntervento",NULL,"consuntivazioni",NULL,NULL,NULL
"42","Risorse aziendali",NULL,"anagraficheRis",NULL,NULL,NULL,"Risorse aziendali",NULL,NULL,"anagraficheRis",NULL,NULL,NULL
"13","Somministrazioni",NULL,"sondaggiSomministrati","stato != 'N'",NULL,NULL,"Tutte le somministrazioni.",NULL,NULL,"sondaggi_somministrati",NULL,"stato != 'N'",NULL
"62","Trattamenti dati",NULL,"cplTrattamentiDati",NULL,NULL,NULL,NULL,NULL,NULL,"cpl_trattamenti_dati","titolo",NULL,NULL
"17","Uffici/ Centri gestionali/ aree",NULL,"centriGestionali",NULL,NULL,NULL,"Tutti gli uffici ",NULL,NULL,"centri_gestionali","descrizione",NULL,NULL
"16","Centri gestionali con sondaggi scaduti",NULL,"centriGestionali","exists(sondaggi[(stato = 'P' or stato = 'A') and coalesce(dataEsecuzione, dataPrevista) <= sysdate])",NULL,NULL,NULL,NULL,NULL,"centri_gestionali","descrizione","exists(sondaggi[(stato = 'P' or stato = 'A') and coalesce(dataEsecuzione, dataPrevista) <= sysdate])",NULL
"18","Centri gestionali con controlli annuali in scadenza",NULL,"centriGestionali","exists(sondaggi[(stato = 'P' or stato = 'A') and coalesce(dataEsecuzione, dataPrevista)+129600 <= sysdate])",NULL,NULL,NULL,NULL,NULL,"centri_gestionali","descrizione","exists(sondaggi[(stato = 'P' or stato = 'A') and coalesce(dataEsecuzione, dataPrevista)+129600 <= sysdate])",NULL
